date,min,max,mean,year,site
1-May,7.2,6.9,7.1,1955,northarm
2-May,7.8,7.2,7.5,1955,northarm
3-May,7.8,7.8,7.8,1955,northarm
4-May,8.1,7.8,7.9,1955,northarm
5-May,8.9,8.1,8.5,1955,northarm
6-May,9.2,8.9,9.0,1955,northarm
7-May,9.4,8.9,9.2,1955,northarm
8-May,9.4,8.9,9.2,1955,northarm
9-May,9.4,8.9,9.2,1955,northarm
10-May,8.9,8.6,8.8,1955,northarm
11-May,8.6,8.1,8.3,1955,northarm
12-May,8.1,7.8,7.9,1955,northarm
13-May,8.1,7.8,7.9,1955,northarm
14-May,8.3,8.1,8.2,1955,northarm
15-May,8.9,8.3,8.6,1955,northarm
16-May,9.4,8.9,9.2,1955,northarm
17-May,9.4,9.4,9.4,1955,northarm
18-May,9.4,9.2,9.3,1955,northarm
19-May,10.0,8.9,9.4,1955,northarm
20-May,10.3,9.7,10.0,1955,northarm
21-May,10.6,10.0,10.3,1955,northarm
22-May,10.0,9.4,9.7,1955,northarm
23-May,9.4,8.9,9.2,1955,northarm
24-May,8.9,8.3,8.6,1955,northarm
25-May,8.6,8.6,8.6,1955,northarm
26-May,8.6,8.6,8.6,1955,northarm
27-May,8.9,8.3,8.6,1955,northarm
28-May,8.9,8.9,8.9,1955,northarm
29-May,8.9,8.6,8.8,1955,northarm
30-May,8.1,8.1,8.1,1955,northarm
31-May,8.9,8.1,8.5,1955,northarm
1-Jun,8.9,8.3,8.6,1955,northarm
2-Jun,8.3,8.3,8.3,1955,northarm
3-Jun,8.6,8.1,8.3,1955,northarm
4-Jun,8.9,8.3,8.6,1955,northarm
5-Jun,9.4,8.9,9.2,1955,northarm
6-Jun,9.7,9.4,9.6,1955,northarm
7-Jun,10.8,9.7,10.3,1955,northarm
8-Jun,11.1,10.6,10.8,1955,northarm
9-Jun,11.1,10.6,10.8,1955,northarm
10-Jun,11.7,11.1,11.4,1955,northarm
11-Jun,12.2,11.7,11.9,1955,northarm
12-Jun,12.5,12.2,12.4,1955,northarm
13-Jun,12.2,11.9,12.1,1955,northarm
14-Jun,12.2,11.7,11.9,1955,northarm
15-Jun,11.7,11.4,11.5,1955,northarm
16-Jun,11.7,11.1,11.4,1955,northarm
17-Jun,11.7,11.4,11.5,1955,northarm
18-Jun,11.7,11.4,11.5,1955,northarm
19-Jun,11.4,11.1,11.3,1955,northarm
20-Jun,11.4,11.1,11.3,1955,northarm
21-Jun,11.7,11.4,11.5,1955,northarm
22-Jun,11.9,11.7,11.8,1955,northarm
23-Jun,12.2,11.7,11.9,1955,northarm
24-Jun,12.2,11.7,11.9,1955,northarm
25-Jun,11.9,11.7,11.8,1955,northarm
26-Jun,12.2,11.9,12.1,1955,northarm
27-Jun,12.2,11.9,12.1,1955,northarm
28-Jun,12.2,12.2,12.2,1955,northarm
29-Jun,12.2,11.9,12.1,1955,northarm
30-Jun,11.9,11.7,11.8,1955,northarm
1-Jul,12.2,11.7,11.9,1955,northarm
2-Jul,12.2,11.9,12.1,1955,northarm
3-Jul,11.9,11.8,11.9,1955,northarm
4-Jul,12.5,11.9,12.2,1955,northarm
5-Jul,12.8,12.5,12.6,1955,northarm
6-Jul,12.8,12.5,12.6,1955,northarm
7-Jul,12.8,12.5,12.6,1955,northarm
8-Jul,13.1,12.8,12.9,1955,northarm
9-Jul,13.9,13.1,13.5,1955,northarm
10-Jul,14.2,13.6,13.9,1955,northarm
11-Jul,14.7,13.9,14.3,1955,northarm
12-Jul,-,-,-,1955,northarm
13-Jul,-,-,-,1955,northarm
14-Jul,-,-,-,1955,northarm
15-Jul,-,-,-,1955,northarm
16-Jul,-,-,-,1955,northarm
17-Jul,-,-,-,1955,northarm
18-Jul,15.0,14.7,-,1955,northarm
19-Jul,15.0,14.4,14.7,1955,northarm
20-Jul,15.0,14.4,14.7,1955,northarm
21-Jul,15.3,14.7,15.0,1955,northarm
22-Jul,15.6,15.0,15.3,1955,northarm
23-Jul,15.8,15.3,15.6,1955,northarm
24-Jul,15.6,15.3,15.4,1955,northarm
25-Jul,15.3,15.0,15.1,1955,northarm
26-Jul,15.6,15.0,15.3,1955,northarm
27-Jul,15.3,15.0,15.1,1955,northarm
28-Jul,15.0,14.4,14.7,1955,northarm
29-Jul,15.0,14.7,14.9,1955,northarm
30-Jul,15.0,14.4,14.7,1955,northarm
31-Jul,14.4,13.9,14.2,1955,northarm
1-Aug,14.4,13.9,14.2,1955,northarm
2-Aug,15.0,14.4,14.7,1955,northarm
3-Aug,14.4,14.2,14.3,1955,northarm
4-Aug,15.0,13.9,14.4,1955,northarm
5-Aug,15.3,14.4,14.9,1955,northarm
6-Aug,15.8,15.0,15.4,1955,northarm
7-Aug,15.8,15.3,15.6,1955,northarm
